InventoryId,AutoInventoryId,StateInventoryNum,State_ID,State_Name,Region_ID,RegionName,InventoryName,ManufacturerName,Model,SerialNumber,RetailCost,CostPaid,PurchaseDate,Status,Active,DueDate,Location,Description,DeviceCategory,SubCategory,CurrentDevLoan_ID,LendingFee,DoNotCheckout
aff9809a-b537-4bd6-a555-ca9de9081052,15-IN-10085,,15,Hawaii,,,CLEARHEAR Amplifier Phone,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Hearing,,,,False
8c972029-b236-48bc-a759-012a5ff4481e,15-IN-10070,,15,Hawaii,,,CLEARSOUND Neckloop,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Hearing,,,,False
88a61ac5-d68c-499d-8305-bd4b2769efd5,15-IN-10067,,15,Hawaii,,,Click N' Dig Item Finder,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Daily Living,,,,False
9db892b4-1d5e-4fc8-8607-da657076e752,15-IN-10204,,15,Hawaii,,,COIL Magnifying Glasses,Coil,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
62247ddb-d59d-490b-9063-8aa01c4107cb,15-IN-10229,,15,Hawaii,,,COIL Stand Magnifier (set),Coil,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
759b3707-08f7-487f-adda-8d0fb816d502,15-IN-10196,,15,Hawaii,,,Concave Magnifier (large),,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
9c4bb1f7-1248-4431-83b4-1831c47c8189,15-IN-10195,,15,Hawaii,,,Concave Magnifier (small),,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
b2875e4b-33e7-4469-834a-25f55f207e1f,15-IN-10138,,15,Hawaii,,,CONTOUR Roller Red Mouse,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,"Mobility, Seating and Positioning",,,,False
6962477a-2475-485d-a0e1-175a7ec44183,15-IN-10057,,15,Hawaii,,,Cushion Grip Gardening Tools,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Daily Living,,,,False
770965c7-6278-474a-ba34-b60c250d347e,15-IN-10117,,15,Hawaii,,,Cylindrical Foam Tubing,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,"Mobility, Seating and Positioning",,,,False
f06ab784-db2d-4b18-8d94-966e1886b29e,15-IN-10055,,15,Hawaii,,,Dangerous Toe Nail Clipper,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Daily Living,,,,False
75e0dfae-0be3-42e0-9595-eeac7fb7b90d,15-IN-10217,,15,Hawaii,,,DAYLIGHT Desk Lamp,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
10b0aeb2-888d-4c4d-9a39-b1782aac5457,15-IN-10007,,15,Hawaii,,,DON JOHNSTON Sensor Switch,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Speech Communication,,,,False
